catorze	catorze	NumType=Card
cem	cem	NumType=Card
cento	cento	NumType=Card
cinco	cinco	NumType=Card
cinquenta	cinquenta	NumType=Card
dez	dez	NumType=Card
dezenove	dezenove	NumType=Card
dezesseis	dezesseis	NumType=Card
dezessete	dezessete	NumType=Card
dezoito	dezoito	NumType=Card
dois	dois	Gender=Masc|NumType=Card
doze	doze	NumType=Card
duas	dois	Gender=Fem|NumType=Card
duzentas	duzentos	Gender=Fem|NumType=Card
duzentos	duzentos	Gender=Masc|NumType=Card
meia	meio	Gender=Fem|NumType=Frac
meio	meio	Gender=Masc|NumType=Frac
mil	mil	NumType=Card
nove	nove	NumType=Card
novecentas	novecentos	Gender=Fem|NumType=Card
novecentos	novecentos	Gender=Masc|NumType=Card
noventa	noventa	NumType=Card
oitenta	oitenta	NumType=Card
oito	oito	NumType=Card
oitocentas	oitocentos	Gender=Fem|NumType=Card
oitocentos	oitocentos	Gender=Masc|NumType=Card
onze	onze	NumType=Card
quarenta	quarenta	NumType=Card
quatorze	quatorze	NumType=Card
quatro	quatro	NumType=Card
quatrocentas	quatrocentos	Gender=Fem|NumType=Card
quatrocentos	quatrocentos	Gender=Masc|NumType=Card
quinhentas	quinhentos	Gender=Fem|NumType=Card
quinhentos	quinhentos	Gender=Masc|NumType=Card
quinze	quinze	NumType=Card
seis	seis	NumType=Card
seiscentas	seiscentos	Gender=Fem|NumType=Card
seiscentos	seiscentos	Gender=Masc|NumType=Card
sessenta	sessenta	NumType=Card
sete	sete	NumType=Card
setecentas	setecentos	Gender=Fem|NumType=Card
setecentos	setecentos	Gender=Masc|NumType=Card
setenta	setenta	NumType=Card
terça	terço	Gender=Fem|NumType=Frac
terço	terço	Gender=Masc|NumType=Frac
treze	treze	NumType=Card
trezentas	trezentos	Gender=Fem|NumType=Card
trezentos	trezentos	Gender=Masc|NumType=Card
trinta	trinta	NumType=Card
três	três	NumType=Card
um	um	Gender=Masc|NumType=Card
uma	um	Gender=Fem|NumType=Card
vinte	vinte	NumType=Card
zero	zero	NumType=Card
